,0
B08_buffer_600,0.0020992722271520837
NDVI_buffer_900,0.00207025775217522
B02_buffer_1000,0.002056467529643051
NDVI_buffer_250,0.0020454184346100205
B11_buffer_500,0.0019522611936980303
B11_buffer_700,0.0019517478642927522
NDVI_buffer_200,0.0018286227381676295
B01_buffer_700,0.001828495175105927
NDWI_buffer_400,0.0018237495585894626
B02_buffer_500,0.0017989574871256425
NDBI_buffer_150,0.0017777170726311139
NDWI_buffer_600,0.0017741785540879792
NDVI_buffer_350,0.001770525482052583
NDVI_buffer_700,0.0017473430947105037
B01_buffer_900,0.0017411517968824142
B11_buffer_300,0.0017183349755528579
NDBI_buffer_250,0.0017073735579561408
B06_buffer_350,0.001658398123150401
B06_buffer_450,0.0016551839576594114
NDVI_buffer_500,0.0016369058031758135
NDBI_buffer_450,0.0016158678396060624
B06_buffer_150,0.001509563952266493
B04_buffer_400,0.0014943896197803306
NDBI_buffer_100,0.0014829617320164263
B11_buffer_350,0.0014506874412805529
NDBI_buffer_300,0.0014491568568587804
NDVI_buffer_800,0.0014490566335506757
NDBI_buffer_500,0.001448351174641717
B08_buffer_400,0.0014131236250954065
B01_buffer_350,0.0014122481127412736
B11_buffer_200,0.0014055935960756805
B11_buffer_400,0.0013984052668434012
B02_buffer_350,0.001380590090085316
B08_buffer_450,0.0013750109402557434
B11_buffer_450,0.0013712336376585183
NDWI_buffer_450,0.001354986869871619
B03_buffer_700,0.0013393147329120803
B11_buffer_250,0.0013270719988239018
NDBI_buffer_400,0.0013125149626968615
B11_buffer_150,0.0012951519003817902
NDBI_buffer_200,0.0012945930779168174
B06_buffer_50,0.0012812882860358391
NDVI_buffer_300,0.001280022517145482
B08_buffer_350,0.0012760455496379816
NDWI_buffer_300,0.0012662970229172974
NDVI_buffer_100,0.001258409357709019
B03_buffer_900,0.0012532912789764588
B04_buffer_900,0.0012473812791184383
B06_buffer_300,0.0012452559113523979
B08_buffer_250,0.0012049683299277954
B11_buffer_100,0.001204736214381311
B11__,0.0011787325813157937
B04_buffer_350,0.0011533127908948271
B08_buffer_150,0.0011478215267163119
NDVI_buffer_50,0.0011459058491784448
B06_buffer_400,0.0011417174939749063
B02_buffer_600,0.0011095781837904182
B04_buffer_300,0.0011010712704935465
NDBI_buffer_350,0.0010899397327074937
B04_buffer_450,0.0010894438089644094
B06_buffer_250,0.0010864578718228154
B08_buffer_50,0.0010795971325345815
B01_buffer_800,0.0010768543165295085
B08__,0.0010649260892936923
B06_buffer_200,0.0010473212113949418
B03_buffer_500,0.0010451344072726796
